asset_description,asset_abbreviation,can_be_connected,dbo_entity_type,ifc4_3,ifc2x3,is_ifc_default,ifc2x3_entity,ifc2x3_predefined_type,ifc4_3_entity,ifc4_3_predefined_type
duct fitting,DFT,0,,IfcDuctFitting,IfcDuctFitting,1,IfcDuctFitting,,IfcDuctFitting,
duct silencer - attenuator,SLCR,0,,IfcDuctSilencer,IfcDuctSilencer,1,IfcDuctSilencer,,IfcDuctSilencer,
dx system - branch controller/selector box,BCBOX,1,,IfcUnitaryEquipmentSPLITSYSTEM,IfcUnitaryEquipmentSPLITSYSTEM,0,IfcUnitaryEquipment,SPLITSYSTEM,IfcUnitaryEquipment,SPLITSYSTEM
dx system - hybrid variable refrigerant flow unit,HVRF,1,,IfcUnitaryEquipmentSPLITSYSTEM,IfcUnitaryEquipmentSPLITSYSTEM,0,IfcUnitaryEquipment,SPLITSYSTEM,IfcUnitaryEquipment,SPLITSYSTEM
dx system - variable refrigerant flow unit,VRF,1,,IfcUnitaryEquipmentSPLITSYSTEM,IfcUnitaryEquipmentSPLITSYSTEM,0,IfcUnitaryEquipment,SPLITSYSTEM,IfcUnitaryEquipment,SPLITSYSTEM
dx system - variable refrigerant volume unit,VRV,1,,IfcUnitaryEquipmentSPLITSYSTEM,IfcUnitaryEquipmentSPLITSYSTEM,0,IfcUnitaryEquipment,SPLITSYSTEM,IfcUnitaryEquipment,SPLITSYSTEM
electric - switching device,SWD,1,,IfcSwitchingDevice,IfcSwitchingDevice,1,IfcSwitchingDevice,,IfcSwitchingDevice,
electric appliance,EAPPL,0,,IfcElectricAppliance,IfcElectricAppliance,1,IfcElectricAppliance,,IfcElectricAppliance,
electric appliance - air dryer,ADY,0,HVAC/ADY,IfcElectricAppliance,IfcElectricAppliance,0,IfcElectricAppliance,,IfcElectricAppliance,
electric appliance - dishwasher,DW,0,,IfcElectricApplianceDISHWASHER,IfcElectricApplianceDISHWASHER,1,IfcElectricAppliance,DISHWASHER,IfcElectricAppliance,DISHWASHER
electric appliance - electronic point of sale,EPOS,0,,IfcElectricAppliance,IfcElectricAppliance,0,IfcElectricAppliance,,IfcElectricAppliance,
electric appliance - exercise / gym equipment,GYMEQ,0,,IfcElectricAppliance,IfcElectricAppliance,0,IfcElectricAppliance,,IfcElectricAppliance,
electric appliance - food equipment,FOODEQ,0,,IfcElectricAppliance,IfcElectricAppliance,0,IfcElectricAppliance,,IfcElectricAppliance,
electric appliance - fryer,FRY,0,,IfcElectricApplianceELECTRICCOOKER,IfcElectricApplianceELECTRICCOOKER,0,IfcElectricAppliance,ELECTRICCOOKER,IfcElectricAppliance,ELECTRICCOOKER
electric appliance - generic vending machine,VEND,0,,IfcElectricApplianceVENDINGMACHINE,IfcElectricApplianceVENDINGMACHINE,0,IfcElectricAppliance,VENDINGMACHINE,IfcElectricAppliance,VENDINGMACHINE
